StudyNo.,SRA,Study,Species,Amplicon,Layout,Approximated Avg Spot Length,Region,Country,Substrate,SAMN,Latitude,Longitude,Packaging,Raw/RTE/Environment,Time,Lactate Dose,PAA,Study Code,Storage Days,Storage Temperature,Season
BZ1,ERR4144822,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829060,48.2542856,16.4269224,Facility,Raw,,,,GTOE3,,,
BZ1,ERR4144823,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829061,48.2542856,16.4269224,Facility,Raw,,,,GTOE4,,,
BZ1,ERR4144824,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829062,48.2542856,16.4269224,Facility,Raw,,,,GTOE5,,,
BZ1,ERR4144825,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829063,48.2542856,16.4269224,Facility,Raw,,,,GTOE9,,,
BZ1,ERR4144826,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829064,48.2542856,16.4269224,Facility,Raw,,,,K 3,,,
BZ1,ERR4144827,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829065,48.2542856,16.4269224,Facility,Raw,,,,K 4,,,
BZ1,ERR4144828,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829066,48.2542856,16.4269224,Facility,Raw,,,,K 5,,,
BZ1,ERR4144829,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829067,48.2542856,16.4269224,Facility,Raw,,,,K 9,,,
BZ1,ERR4144830,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829068,48.2542856,16.4269224,Facility,Raw,,,,GF 3,,,
BZ1,ERR4144831,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829069,48.2542856,16.4269224,Facility,Raw,,,,GF 4,,,
BZ1,ERR4144832,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829070,48.2542856,16.4269224,Facility,Raw,,,,GF 5,,,
BZ1,ERR4144833,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829071,48.2542856,16.4269224,Facility,Raw,,,,GF 9,,,
BZ1,ERR4144834,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829072,48.2542856,16.4269224,Facility,Raw,,,,GW 3,,,
BZ1,ERR4144835,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829073,48.2542856,16.4269224,Facility,Raw,,,,GW 4,,,
BZ1,ERR4144836,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829074,48.2542856,16.4269224,Facility,Raw,,,,GW 5,,,
BZ1,ERR4144837,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829075,48.2542856,16.4269224,Facility,Raw,,,,GW 9,,,
BZ1,ERR4144838,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829076,48.2542856,16.4269224,Facility,Raw,,,,GE 3,,,
BZ1,ERR4144839,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829077,48.2542856,16.4269224,Facility,Raw,,,,GE 4,,,
BZ1,ERR4144840,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829078,48.2542856,16.4269224,Facility,Raw,,,,GE 5,,,
BZ1,ERR4144841,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829079,48.2542856,16.4269224,Facility,Raw,,,,GE 9,,,
BZ1,ERR4144842,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829080,48.2542856,16.4269224,Facility,Raw,,,,GK 3,,,
BZ1,ERR4144843,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829081,48.2542856,16.4269224,Facility,Raw,,,,GK 4,,,
BZ1,ERR4144844,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829082,48.2542856,16.4269224,Facility,Raw,,,,GK 5,,,
BZ1,ERR4144845,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829083,48.2542856,16.4269224,Facility,Raw,,,,GK 9,,,
BZ1,ERR4144846,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829084,48.2542856,16.4269224,Facility,Raw,,,,GT 3,,,
BZ1,ERR4144847,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829085,48.2542856,16.4269224,Facility,Raw,,,,GT 4,,,
BZ1,ERR4144848,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829086,48.2542856,16.4269224,Facility,Raw,,,,GT 5,,,
BZ1,ERR4144849,1,Pork,V3-V4,Paired,600,Europe,Austria,meat,SAMEA6829087,48.2542856,16.4269224,Facility,Raw,,,,GT 9,,,
BZ1,ERR4144850,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829088,48.2542856,16.4269224,Facility,Environment,,,,UG 1a,,,
BZ1,ERR4144851,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829089,48.2542856,16.4269224,Facility,Environment,,,,UG 1c,,,
BZ1,ERR4144852,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829090,48.2542856,16.4269224,Facility,Environment,,,,UG 2a,,,
BZ1,ERR4144853,1,Pork,V3-V4,Paired,600,Europe,Austria,surface,SAMEA6829091,48.2542856,16.4269224,Facility,Environment,,,,UG 2c,,,
