StudyCode,SRA,Layout
BZ1,ERR4144822,Paired
BZ1,ERR4144823,Paired
BZ1,ERR4144824,Paired
BZ1,ERR4144825,Paired
BZ1,ERR4144826,Paired
BZ1,ERR4144827,Paired
BZ1,ERR4144828,Paired
BZ1,ERR4144829,Paired
BZ1,ERR4144830,Paired
BZ1,ERR4144831,Paired
BZ1,ERR4144832,Paired
BZ1,ERR4144833,Paired
BZ1,ERR4144834,Paired
BZ1,ERR4144835,Paired
BZ1,ERR4144836,Paired
BZ1,ERR4144837,Paired
BZ1,ERR4144838,Paired
BZ1,ERR4144839,Paired
BZ1,ERR4144840,Paired
BZ1,ERR4144841,Paired
BZ1,ERR4144842,Paired
BZ1,ERR4144843,Paired
BZ1,ERR4144844,Paired
BZ1,ERR4144845,Paired
BZ1,ERR4144846,Paired
BZ1,ERR4144847,Paired
BZ1,ERR4144848,Paired
BZ1,ERR4144849,Paired
BZ1,ERR4144850,Paired
BZ1,ERR4144851,Paired
BZ1,ERR4144852,Paired
BZ1,ERR4144853,Paired
BZ1,ERR4144854,Paired
BZ1,ERR4144855,Paired
BZ1,ERR4144856,Paired
BZ1,ERR4144857,Paired
BZ1,ERR4144858,Paired
BZ1,ERR4144859,Paired
BZ1,ERR4144860,Paired
BZ1,ERR4144861,Paired
BZ1,ERR4144862,Paired
BZ1,ERR4144863,Paired
BZ1,ERR4144864,Paired
BZ1,ERR4144865,Paired
BZ1,ERR4144866,Paired
BZ1,ERR4144867,Paired
BZ1,ERR4144868,Paired
BZ1,ERR4144869,Paired
BZ1,ERR4144870,Paired
BZ1,ERR4144871,Paired
BZ1,ERR4144872,Paired
SK3,ERR3603283,Paired
SK3,ERR3603284,Paired
SK3,ERR3603285,Paired
SK3,ERR3603286,Paired
SK3,ERR3603287,Paired
SK3,ERR3603288,Paired
SK3,ERR3603289,Paired
SK3,ERR3603290,Paired
SK3,ERR3603291,Paired
SK3,ERR3603292,Paired
SK3,ERR3603293,Paired
SK3,ERR3603294,Paired
SK3,ERR3603295,Paired
SK3,ERR3603296,Paired
SK3,ERR3603297,Paired
SK3,ERR3603298,Paired
SK3,ERR3603299,Paired
SK3,ERR3603300,Paired
SK3,ERR3603301,Paired
SK3,ERR3603302,Paired
SK3,ERR3603303,Paired
SK3,ERR3603304,Paired
SK3,ERR3603305,Paired
SK3,ERR3603306,Paired
SK3,ERR3603307,Paired
SK3,ERR3603308,Paired
SK3,ERR3603309,Paired
SK3,ERR3603310,Paired
SK3,ERR3603311,Paired
SK3,ERR3603312,Paired
SK3,ERR3603313,Paired
SK3,ERR3603314,Paired
SK3,ERR3603315,Paired
SK3,ERR3603316,Paired
SK3,ERR3603317,Paired
SK3,ERR3603318,Paired
SK3,ERR3603319,Paired
SK3,ERR3603320,Paired
SK3,ERR3603321,Paired
SK3,ERR3603322,Paired
SK3,ERR3603323,Paired
SK3,ERR3603324,Paired
SK3,ERR3603325,Paired
SK3,ERR3603326,Paired
SK3,ERR3603327,Paired
SK3,ERR3603328,Paired
SK3,ERR3603329,Paired
SK3,ERR3603330,Paired
SK3,ERR3603331,Paired
SK3,ERR3603332,Paired
SK3,ERR3603333,Paired
SK3,ERR3603334,Paired
SK3,ERR3603335,Paired
SK3,ERR3603336,Paired
SK3,ERR3603337,Paired
SK3,ERR3603338,Paired
SK3,ERR3603339,Paired
SK3,ERR3603340,Paired
SK3,ERR3603341,Paired
SK3,ERR3603342,Paired
SK3,ERR3603343,Paired
SK3,ERR3603344,Paired
SK3,ERR3603345,Paired
SK3,ERR3603346,Paired
SK3,ERR3603347,Paired
SK3,ERR3603373,Paired
SK3,ERR3603374,Paired
SK3,ERR3603375,Paired
SK3,ERR3603376,Paired
SK3,ERR3603377,Paired
SK3,ERR3603378,Paired
SK3,ERR3603379,Paired
SK3,ERR3603380,Paired
SK3,ERR3603381,Paired
SK3,ERR3603382,Paired
SK3,ERR3603383,Paired
SK3,ERR3603384,Paired
SK3,ERR3603385,Paired
SK3,ERR3603386,Paired
SK3,ERR3603387,Paired
SK3,ERR3603388,Paired
SK3,ERR3603389,Paired
SK3,ERR3603390,Paired
SK3,ERR3603391,Paired
SK3,ERR3603392,Paired
SK3,ERR3603393,Paired
SK3,ERR3603394,Paired
SK3,ERR3603395,Paired
SK3,ERR3603396,Paired
SK3,ERR3603397,Paired
